=== KẾT QUẢ ĐÁNH GIÁ HỆ THỐNG ===
Tổng số ảnh đánh giá: 1483
Top-1 Accuracy : 0.7087
Top-5 Accuracy : 0.7539
Macro Precision: 0.9317
Macro Recall   : 0.7089
Tổng thời gian : 159.6s
TB mỗi query   : 107.6ms

=== CHI TIẾT ===
File: 10__M_Left_index_finger_CR.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 287, 187, 297, 148] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Left_index_finger_Obl.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 187, 287, 72, 173] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Left_index_finger_Zcut.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 287, 187, 297, 148] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Left_little_finger_CR.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 12, 69, 110, 241] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Left_little_finger_Obl.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 287, 187, 148, 72] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Left_little_finger_Zcut.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 12, 69, 110, 241] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Left_middle_finger_CR.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 208, 52, 268, 180] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Left_middle_finger_Obl.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 208, 180, 52, 268] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Left_middle_finger_Zcut.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 52, 208, 268, 180] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Left_ring_finger_CR.BMP | True ID: 10 | Top 1: 295 | Top 5: [295, 130, 186, 233, 261] | Top-1 Đúng: False | Top-5 Đúng: False
File: 10__M_Left_ring_finger_Obl.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 291, 218, 93, 233] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Left_ring_finger_Zcut.BMP | True ID: 10 | Top 1: 295 | Top 5: [295, 130, 186, 233, 261] | Top-1 Đúng: False | Top-5 Đúng: False
File: 10__M_Left_thumb_finger_CR.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 274, 258, 3, 261] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Left_thumb_finger_Obl.BMP | True ID: 10 | Top 1: 167 | Top 5: [167, 19, 248, 22, 23] | Top-1 Đúng: False | Top-5 Đúng: False
File: 10__M_Left_thumb_finger_Zcut.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 274, 261, 3, 171] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Right_index_finger_CR.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 199, 113, 184, 145] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Right_index_finger_Obl.BMP | True ID: 10 | Top 1: 159 | Top 5: [159, 179, 170, 78, 160] | Top-1 Đúng: False | Top-5 Đúng: False
File: 10__M_Right_index_finger_Zcut.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 184, 113, 58, 124] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Right_little_finger_CR.BMP | True ID: 10 | Top 1: 277 | Top 5: [277, 10, 251, 144, 91] | Top-1 Đúng: False | Top-5 Đúng: True
File: 10__M_Right_little_finger_Obl.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 253, 170, 277, 146] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Right_little_finger_Zcut.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 146, 131, 170, 256] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Right_middle_finger_CR.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 298, 143, 195, 33] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Right_middle_finger_Obl.BMP | True ID: 10 | Top 1: 253 | Top 5: [253, 113, 216, 87, 286] | Top-1 Đúng: False | Top-5 Đúng: False
File: 10__M_Right_middle_finger_Zcut.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 298, 143, 195, 33] | Top-1 Đúng: True | Top-5 Đúng: True
File: 10__M_Right_ring_finger_CR.BMP | True ID: 10 | Top 1: 10 | Top 5: [10, 163, 13, 92, 207] | Top-1 Đúng: True | Top-5 Đúng: True
