Metric,Value
Total_Images,1483
Top-1_Accuracy,0.7087
Top-5_Accuracy,0.7539
Macro_Precision,0.9317
Macro_Recall,0.7089
Total_Time_Seconds,159.64
Avg_Time_Per_Query_ms,107.65

file_name,true_id,pred_top1_id,top_5_ids,is_top1_correct,is_top5_correct
10__M_Left_index_finger_CR.BMP,10,10,"10, 287, 187, 297, 148",True,True
10__M_Left_index_finger_Obl.BMP,10,10,"10, 187, 287, 72, 173",True,True
10__M_Left_index_finger_Zcut.BMP,10,10,"10, 287, 187, 297, 148",True,True
10__M_Left_little_finger_CR.BMP,10,10,"10, 12, 69, 110, 241",True,True
10__M_Left_little_finger_Obl.BMP,10,10,"10, 287, 187, 148, 72",True,True
10__M_Left_little_finger_Zcut.BMP,10,10,"10, 12, 69, 110, 241",True,True
10__M_Left_middle_finger_CR.BMP,10,10,"10, 208, 52, 268, 180",True,True
10__M_Left_middle_finger_Obl.BMP,10,10,"10, 208, 180, 52, 268",True,True
10__M_Left_middle_finger_Zcut.BMP,10,10,"10, 52, 208, 268, 180",True,True
10__M_Left_ring_finger_CR.BMP,10,295,"295, 130, 186, 233, 261",False,False
10__M_Left_ring_finger_Obl.BMP,10,10,"10, 291, 218, 93, 233",True,True
10__M_Left_ring_finger_Zcut.BMP,10,295,"295, 130, 186, 233, 261",False,False
10__M_Left_thumb_finger_CR.BMP,10,10,"10, 274, 258, 3, 261",True,True
10__M_Left_thumb_finger_Obl.BMP,10,167,"167, 19, 248, 22, 23",False,False
10__M_Left_thumb_finger_Zcut.BMP,10,10,"10, 274, 261, 3, 171",True,True
10__M_Right_index_finger_CR.BMP,10,10,"10, 199, 113, 184, 145",True,True
10__M_Right_index_finger_Obl.BMP,10,159,"159, 179, 170, 78, 160",False,False
10__M_Right_index_finger_Zcut.BMP,10,10,"10, 184, 113, 58, 124",True,True
10__M_Right_little_finger_CR.BMP,10,277,"277, 10, 251, 144, 91",False,True
10__M_Right_little_finger_Obl.BMP,10,10,"10, 253, 170, 277, 146",True,True
10__M_Right_little_finger_Zcut.BMP,10,10,"10, 146, 131, 170, 256",True,True
10__M_Right_middle_finger_CR.BMP,10,10,"10, 298, 143, 195, 33",True,True
10__M_Right_middle_finger_Obl.BMP,10,253,"253, 113, 216, 87, 286",False,False
10__M_Right_middle_finger_Zcut.BMP,10,10,"10, 298, 143, 195, 33",True,True
10__M_Right_ring_finger_CR.BMP,10,10,"10, 163, 13, 92, 207",True,True
10__M_Right_ring_finger_Obl.BMP,10,10,"10, 163, 13, 92, 25",True,True
10__M_Right_ring_finger_Zcut.BMP,10,10,"10, 163, 92, 13, 19",True,True
10__M_Right_thumb_finger_CR.BMP,10,10,"10, 111, 139, 130, 79",True,True
10__M_Right_thumb_finger_Obl.BMP,10,10,"10, 111, 139, 130, 143",True,True
10__M_Right_thumb_finger_Zcut.BMP,10,10,"10, 139, 111, 130, 79",True,True
11__M_Left_index_finger_CR.BMP,11,100,"100, 90, 48, 27, 188",False,False
11__M_Left_index_finger_Obl.BMP,11,11,"11, 29, 212, 263, 115",True,True
11__M_Left_index_finger_Zcut.BMP,11,188,"188, 242, 192, 71, 189",False,False
11__M_Left_little_finger_CR.BMP,11,11,"11, 187, 84, 164, 242",True,True
11__M_Left_little_finger_Obl.BMP,11,11,"11, 187, 84, 164, 242",True,True
11__M_Left_little_finger_Zcut.BMP,11,11,"11, 187, 84, 164, 242",True,True
11__M_Left_middle_finger_CR.BMP,11,163,"163, 199, 289, 87, 208",False,False
11__M_Left_middle_finger_Obl.BMP,11,11,"11, 276, 258, 13, 280",True,True
11__M_Left_middle_finger_Zcut.BMP,11,11,"11, 276, 211, 258, 280",True,True
11__M_Left_ring_finger_CR.BMP,11,10,"10, 268, 208, 52, 180",False,False
11__M_Left_ring_finger_Obl.BMP,11,255,"255, 235, 296, 19, 19",False,False
11__M_Left_ring_finger_Zcut.BMP,11,255,"255, 235, 19, 19, 296",False,False
11__M_Left_thumb_finger_CR.BMP,11,11,"11, 113, 133, 41, 207",True,True
11__M_Left_thumb_finger_Obl.BMP,11,11,"11, 26, 280, 281, 50",True,True
11__M_Left_thumb_finger_Zcut.BMP,11,11,"11, 113, 133, 41, 207",True,True
11__M_Right_index_finger_CR.BMP,11,11,"11, 279, 52, 181, 54",True,True
11__M_Right_index_finger_Obl.BMP,11,116,"116, 225, 169, 164, 57",False,False
11__M_Right_index_finger_Zcut.BMP,11,11,"11, 279, 181, 52, 54",True,True
11__M_Right_little_finger_CR.BMP,11,250,"250, 241, 285, 225, 28",False,False
